project_code,project_name,mda_name,project_status,location,amount,expenditure_code
ERGP27202188,MAINTENANCE OF BUILDING/CIVIL INFRASTRUCTURES/MECHANICAL/ELECTRICAL FITTINGS/CLEANING/HORTICULTURAL SERVICES,,ONGOING,,1430518.0,
ERGP14232171,FEDERAL CIVIL SERVICE STRATEGY AND IMPLEMENTATION PLAN 2021-2025 (FCSSIP,,ONGOING,,23800000.0,
ERGP14232190,PAYMENT OF BALANCE OF PROCUREMENT OF ARMOURED AIRBOAT FOR THE ARMED FORCES,,ONGOING,,1821400000.0,
ERGP14232212,PRODUCTION OF ANNUAL REPORT ON BILATERAL COOPERATION WITH FRIENDLY COUNTRIES,,ONGOING,,91000000.0,
ERGP14232231,PROCUREMENT OF 3 Nos UTILITY VEHICLES AND PROVISION OF MECHANICAL TOOLS AND EQUIPMENT AT MOD MECHANIC WORK SHOP,,ONGOING,,126000000.0,
ERGP14232248,MOD SPORTSWEEK/FEPSGA MONTHLY WALKING JOGGING/AEROBICS,,ONGOING,,2940000.0,
ERGP12232429,CONSTRUCTION OF ROAD NETWORK ACROSS NIGERIAN ARMY FORMATIONS AND UNITS,,ONGOING,,2916156898.0,
ERGP14232420,PROCUREMENT OF UTILITY VEHICLES (TCVS AND WATER TANKERS INCLUSIVE),,ONGOING,,4957466725.0,
ERGP27232400,CONSTRUCTION OF RESIDENTIAL ACCOMMODATION FOR OFFICERS AND SOLDIERS ACROSS NIGERIAN ARMY BARRACKS,,ONGOING,,44203698000.0,
ERGP14224359,"PROCUREMENT OF JET A-1 BOWSER (10,000L)",,ONGOING,,245000000.0,
ERGP14226622,"PROCUREMENT OF COMPUTERS, SHREDDING MACHINES, PHOTOCOPIERS AND UPS",,ONGOING,,175000000.0,
ERGP30234085,DIGITALIZATION OF NDC HALL OF FAME AT NDC PERMANENT SITE PIWOYI - DIRECT LABOUR (DIRECT LABOUR) Budget Office of the Federation              Page 94 / 2790                                            2,,ONGOING,,210000000.0,
ERGP29233184,PROCUREMENT AND INSTALLATION OF CENTRALIZED SECURITY SURVEILLANCE SYSTEM FOR THE COLLEGE,,ONGOING,,164500000.0,
ERGP14237329,COMPEDIUM ON THE ACTIVITIES OF THE PAST LEADERSHIP OF THE NATIONAL ASSEMBLY Budget Office of the Federation            Page 110 / 2790                                           2026 FGN BUDGET,,ONGOING,,70000000.0,
