project_code,project_name,mda_name,project_status,location,amount,expenditure_code
ERGP10100001,Construction of dual carriageway Lagos Ibadan,FEDERAL MINISTRY OF WORKS,ONGOING,Lagos,4500000000,23010101
ERGP10100002,Construction of dual carriageway Lagos Ibadan,FEDERAL MINISTRY OF WORKS,ONGOING,Ogun,4500000000,23010101
ERGP10100003,Rehabilitation of feeder roads selected locations,FEDERAL MINISTRY OF WORKS,NEW,,850000000,23010122
ERGP10100004,Construction of classroom blocks nationwide,FEDERAL ROAD MAINTENANCE AGENCY,NEW,various states,320000000,23050101
ERGP10100005,Procurement of official vehicles for headquarters,FEDERAL MINISTRY OF HEALTH,NEW,Abuja,375000000,23010105
ERGP10100006,Construction of primary health centre,FEDERAL MINISTRY OF HEALTH,ONGOING,Kano,180000000,23020101
ERGP10100007,Maintenance of federal roads corridor A1,FEDERAL ROAD MAINTENANCE AGENCY,ONGOING,Kaduna,14700000000,23010101
ERGP10100008,Supply of hospital equipment,FEDERAL MINISTRY OF HEALTH,NEW,Enugu,95000000,23010122
ERGP10100009,Construction of nursing school campus,FEDERAL ROAD MAINTENANCE AGENCY,NEW,Niger,650000000,23020118
ERGP10100010,Streetlight installation project,FEDERAL MINISTRY OF POWER,NEW,Rivers,266000000,23010122
ERGP10100011,Borehole drilling in selected LGAs,FEDERAL MINISTRY OF WATER RESOURCES,NEW,,45000000,23020105
ERGP10100012,Training and capacity building workshop,FEDERAL MINISTRY OF EDUCATION,NEW,FCT,25000000,22020101
ERGP10100013,Construction of dual carriageway Lagos Ibadan,FEDERAL MINISTRY OF WORKS,ONGOING,Oyo,4400000000,23010101
ERGP10100014,Furniture supply for offices,STATE HOUSE,NEW,FCT,800000000,23010112
ERGP10100015,Renovation of general hospital,FEDERAL MINISTRY OF HEALTH,ONGOING,Katsina,220000000,23030101
